figure,context_tokens,batch,plotted_method,newly_rerun,repeat_index,input_metric,source_file,metric_field,value
3,65536,1,dense,False,0,tail,results/system_benchmarks/tp1_offline/formal/request_dense_t65536_c0_n128/result.json,measurement.steady_tail_wall_mean_ms,35.88041976547322
3,65536,1,dense,False,1,tail,results/system_benchmarks/tp1_offline/formal/request_dense_t65536_c1_n128/result.json,measurement.steady_tail_wall_mean_ms,35.86873713343799
3,65536,1,dense,False,2,tail,results/system_benchmarks/tp1_offline/formal/request_dense_t65536_c2_n128/result.json,measurement.steady_tail_wall_mean_ms,35.85956048488885
3,65536,1,dense,False,0,build,results/system_benchmarks/tp1_offline/formal/request_dense_t65536_c0_n128/result.json,build_profile.prompt_specific_fit_seconds,0.0
3,65536,1,dense,False,1,build,results/system_benchmarks/tp1_offline/formal/request_dense_t65536_c1_n128/result.json,build_profile.prompt_specific_fit_seconds,0.0
3,65536,1,dense,False,2,build,results/system_benchmarks/tp1_offline/formal/request_dense_t65536_c2_n128/result.json,build_profile.prompt_specific_fit_seconds,0.0
3,65536,1,basis,False,0,request,results/system_benchmarks/tp1_offline/formal/request_basis_t65536_c0_n128/result.json,measurement.request_seconds,16.38641557423398
3,65536,1,basis,False,1,request,results/system_benchmarks/tp1_offline/formal/request_basis_t65536_c1_n128/result.json,measurement.request_seconds,16.399364752694964
3,65536,1,basis,False,2,request,results/system_benchmarks/tp1_offline/formal/request_basis_t65536_c2_n128/result.json,measurement.request_seconds,16.40196104720235
3,65536,1,basis,False,0,tail,results/system_benchmarks/tp1_offline/formal/request_basis_t65536_c0_n128/result.json,measurement.steady_tail_wall_mean_ms,31.58341309995399
3,65536,1,basis,False,1,tail,results/system_benchmarks/tp1_offline/formal/request_basis_t65536_c1_n128/result.json,measurement.steady_tail_wall_mean_ms,31.607416907308608
3,65536,1,basis,False,2,tail,results/system_benchmarks/tp1_offline/formal/request_basis_t65536_c2_n128/result.json,measurement.steady_tail_wall_mean_ms,31.65373219982595
3,65536,1,basis,False,0,build,results/system_benchmarks/tp1_offline/formal/request_basis_t65536_c0_n128/result.json,build_profile.prompt_specific_fit_seconds,0.0
3,65536,1,basis,False,1,build,results/system_benchmarks/tp1_offline/formal/request_basis_t65536_c1_n128/result.json,build_profile.prompt_specific_fit_seconds,0.0
3,65536,1,basis,False,2,build,results/system_benchmarks/tp1_offline/formal/request_basis_t65536_c2_n128/result.json,build_profile.prompt_specific_fit_seconds,0.0
3,65536,1,shadowkv,False,0,request,results/system_benchmarks/tp1_offline/formal/request_shadowkv_t65536_c0_n128/result.json,measurement.request_seconds,29.411805399227887
3,65536,1,shadowkv,False,1,request,results/system_benchmarks/tp1_offline/formal/request_shadowkv_t65536_c1_n128/result.json,measurement.request_seconds,29.511251303367317
3,65536,1,shadowkv,False,2,request,results/system_benchmarks/tp1_offline/formal/request_shadowkv_t65536_c2_n128/result.json,measurement.request_seconds,29.508449826855212
3,65536,1,shadowkv,False,0,tail,results/system_benchmarks/tp1_offline/formal/request_shadowkv_t65536_c0_n128/result.json,measurement.steady_tail_wall_mean_ms,30.813975062489778
3,65536,1,shadowkv,False,1,tail,results/system_benchmarks/tp1_offline/formal/request_shadowkv_t65536_c1_n128/result.json,measurement.steady_tail_wall_mean_ms,30.8050205259844
