layer,group,document,query_position,page,token_start,token_end_inclusive,pinned,teacher_mass_mean,teacher_non_sink_mass_mean,teacher_mass_h0,teacher_mass_h1,teacher_mass_h2,teacher_mass_h3,exact.group_score,exact.rank_min,exact.rank_max,exact.owner,exact.selected,exact.cutoff,exact.score_minus_cutoff,exact.global_owner_head,exact.rank_min_minus_63,q32.group_score,q32.rank_min,q32.rank_max,q32.owner,q32.selected,q32.cutoff,q32.score_minus_cutoff,q32.global_owner_head,q32.rank_min_minus_63,q32.status,qgram32.group_score,qgram32.rank_min,qgram32.rank_max,qgram32.owner,qgram32.selected,qgram32.cutoff,qgram32.score_minus_cutoff,qgram32.global_owner_head,qgram32.rank_min_minus_63,qgram32.status
0,0,64,32767,10,320,351,False,2.9427308618323877e-05,2.9430704671540298e-05,2.361474116696627e-06,1.8031066006604646e-12,2.8470026336435694e-06,0.00011250075476709753,0.00011251431715209037,878,878,3,False,0.004178705625236034,-0.004066191308083944,3,815,0.00014307876699604094,825,825,3,False,0.004122087731957436,-0.003979008964961395,3,762,neither,0.00012394053919706494,849,849,3,False,0.003921698313206434,-0.0037977577740093693,3,786,neither
0,0,64,32767,11,352,383,False,3.170727359247394e-05,3.1711020710645244e-05,1.0898803566306015e-06,6.4073143492271445e-12,1.5594622482240084e-06,0.00012417974357958883,0.00012419471750035882,860,860,3,False,0.004178705625236034,-0.004054510907735676,3,797,0.000129800770082511,853,853,3,False,0.004122087731957436,-0.003992286961874925,3,790,neither,0.00011642953177215531,863,863,3,False,0.003921698313206434,-0.003805268781434279,3,800,neither
0,0,64,32767,12,384,415,False,1.4851066225674003e-05,1.4852610547677614e-05,6.51735490464489e-06,7.895239366798035e-13,2.027886921496247e-06,5.0859020120697096e-05,5.086515375296585e-05,975,975,3,False,0.004178705625236034,-0.0041278404714830685,3,912,5.118108674651012e-05,974,974,3,False,0.004122087731957436,-0.0040709066452109255,3,911,neither,4.667701432481408e-05,974,974,3,False,0.003921698313206434,-0.00387502129888162,3,911,neither
0,0,64,32767,13,416,447,False,1.7514681530883536e-05,1.7516082152724266e-05,1.7403845049557276e-05,9.678714427141522e-12,7.181548426160589e-06,4.547331991489045e-05,4.547880234895274e-05,978,978,3,False,0.004178705625236034,-0.004133226822887082,3,915,4.159158197580837e-05,985,985,3,False,0.004122087731957436,-0.004080496149981627,3,922,neither,3.762716369237751e-05,987,987,3,False,0.003921698313206434,-0.0038840711495140567,3,924,neither
0,0,64,32767,14,448,479,False,6.750254215148743e-06,6.750825377821457e-06,5.02325565321371e-06,1.819537576164265e-12,3.342081527080154e-06,1.8635677406564355e-05,1.8637925677467138e-05,1013,1013,3,False,0.004178705625236034,-0.004160067699558567,3,950,1.822162448661402e-05,1013,1013,3,False,0.004122087731957436,-0.004103866107470822,3,950,neither,1.744289147609379e-05,1011,1011,3,False,0.003921698313206434,-0.0039042554217303405,3,948,neither
0,0,64,32767,15,480,511,False,7.115316293493379e-06,7.1160197876452e-06,3.228900595786399e-06,4.8582167612833474e-14,2.0784748357982608e-06,2.3153888832894154e-05,2.3156679162639193e-05,1006,1006,3,False,0.004178705625236034,-0.004155548946073395,3,943,2.585405127319973e-05,1004,1004,3,False,0.004122087731957436,-0.004096233680684236,3,941,neither,2.3973021598067135e-05,1005,1005,3,False,0.003921698313206434,-0.003897725291608367,3,942,neither
0,0,64,32767,16,512,543,False,5.269360372039955e-06,5.269833309284877e-06,2.5315764560218668e-06,9.293963168510722e-13,3.044248160222196e-06,1.5501616871915758e-05,1.5503486793022603e-05,1015,1015,3,False,0.004178705625236034,-0.004163202138443012,3,952,1.7775922970031388e-05,1014,1014,3,False,0.004122087731957436,-0.004104311808987404,3,951,neither,1.5562158296233974e-05,1015,1015,3,False,0.003921698313206434,-0.0039061361549102003,3,952,neither
0,0,64,32767,17,544,575,False,3.1408213544636965e-05,3.1411742384079844e-05,2.692316456887056e-06,1.1511665926056125e-10,6.134724571893457e-06,0.0001168056987808086,0.00011681977775879204,871,871,3,False,0.004178705625236034,-0.004061885847477242,3,808,0.00011467956937849522,873,873,3,False,0.004122087731957436,-0.00400740816257894,3,810,neither,0.00011100972187705338,874,874,3,False,0.003921698313206434,-0.003810688591329381,3,811,neither
0,0,64,32767,18,576,607,False,1.206344495585654e-05,1.2064729162375443e-05,1.8772003613776178e-06,6.792919633909211e-13,3.9325600482698064e-06,4.244401861797087e-05,4.244913725415245e-05,981,981,3,False,0.004178705625236034,-0.004136256487981882,3,918,5.313534347806126e-05,972,972,3,False,0.004122087731957436,-0.004068952388479374,3,909,neither,4.64168879261706e-05,977,977,3,False,0.003921698313206434,-0.0038752814252802636,3,914,neither
0,0,64,32767,19,608,639,False,1.000270731310593e-05,1.0003659554058686e-05,2.530005303924554e-06,3.500652458882092e-13,6.128941095084883e-06,3.135188308078796e-05,3.1355662940768525e-05,999,999,3,False,0.004178705625236034,-0.004147349962295266,3,936,3.248318535042927e-05,997,997,3,False,0.004122087731957436,-0.004089604546607006,3,934,neither,2.9967592126922682e-05,998,998,3,False,0.003921698313206434,-0.0038917307210795116,3,935,neither
