model,method,rank,calibration_context,document,overall_nll,delta_nll,nll_0_8k,nll_8_32k,nll_32_64k,nll_64_128k,delta_nll_0_8k,delta_nll_8_32k,delta_nll_32_64k,delta_nll_64_128k
Qwen3-8B-Base,Joint C1,96,32768,2,2.6205271317158934,0.06305016056323298,2.4046743226030696,2.6720227070957017,2.3554300295940958,2.7607431494959838,0.022787706368102345,0.05421140764557553,0.06152906915830636,0.07215743102791228
Qwen3-8B-Base,Joint C1,96,32768,3,2.3646980812032408,0.054175180454777205,0.7829909387686532,2.396437942958768,2.230247794161283,2.6177100344345745,0.011751024429224932,0.036700223370284224,0.047907489118863555,0.06916450719136336
Qwen3-8B-Base,Joint C1,96,32768,4,2.1252558185242045,0.0435185514017995,1.9435277777214623,1.9871325433982043,2.0955607630842676,2.214612806566924,0.021727264307212835,0.026990366034236768,0.039288948720830774,0.054555000633289996
Qwen3-8B-Base,Joint C1,96,32768,5,2.484762631222609,0.04862048873377045,2.510337604118361,2.131437461112514,2.508234121600239,2.6023273434562273,0.03223814287759286,0.031222754961248267,0.048394838334221646,0.05730500735550237
Qwen3-8B-Base,Joint C1,96,32768,6,2.211081936936356,0.04494650576439296,2.157456184931435,1.8134367288987387,2.3792955060130785,2.2827945061486776,0.017754722655076716,0.030762593271647987,0.04662656374265062,0.0528240019350239
Qwen3-8B-Base,Joint C1,96,32768,7,2.508421356531062,0.05347536253926366,2.247397979243984,2.119053391880422,2.6810514248192714,2.600743248391177,0.020591111845310817,0.030484612787727183,0.04731704179383778,0.06928608363170152
Qwen3-8B-Base,Joint C1,64,131072,0,2.5662693169288913,0.1576274525943795,1.9561470525330995,2.7488513689934373,2.6205737672309564,2.5469047955761934,0.08121818447653428,0.14448909139323662,0.13587884184883858,0.18297863601940412
Qwen3-8B-Base,Joint C1,64,131072,1,2.8338646359322355,0.16718455835558332,2.817527586784079,3.1630157410998847,2.7703592806151787,2.744227531012829,0.123711377017238,0.1688874095354933,0.11418022335887645,0.19848164098065935
Qwen3-8B-Base,Joint C1,64,131072,2,2.736338236503679,0.17886126535101843,2.4933573146100745,2.8163838752227655,2.460009247571212,2.874854524092323,0.11147069837510726,0.19857257577263931,0.16610828713542247,0.1862688056242514
Qwen3-8B-Base,Joint C1,64,131072,3,2.4857033378354805,0.17518043708701692,0.8363422339502078,2.516245844423184,2.3372904519268918,2.7546013115518733,0.0651023196107795,0.1565081248347,0.1549501468844725,0.20605578430866212
