layer,method,base_rank,residual_rank,route_scan_width,additional_routing_state,attention_mass_recall,nonsink_mass_recall,page_recall,routed_page_recall,page_kl,attention_rel_mse,post_wo_rel_mse
20,b4r16,4,16,20,16,0.9570403607795015,0.8243244562763721,0.799224853515625,0.7893506633117795,0.16973174206214026,0.006446712862051195,0.018164441644711208
20,b16_only,16,0,16,0,0.9428562069078907,0.759751932520885,0.6592864990234375,0.6425300911068916,0.8241878028493375,0.015113679830469635,0.02756822137964621
20,b16r16,16,16,32,16,0.9576443893602118,0.8261065913829952,0.8158416748046875,0.8067847051424906,0.14088926538533997,0.006102673630123878,0.017705471788297723
20,r32_only,0,32,32,32,0.9570670702960342,0.8238376685185358,0.7760696411132812,0.7650566679658368,0.1838903614116134,0.00612231789643057,0.018036857591295436
20,exact_k,128,0,128,128,0.9598645649384707,0.8336591083789244,1.0,1.0,0.0,0.005224605010261967,0.01674223278461018
21,r16_only,0,16,16,16,0.9528571050614119,0.8367621843935922,0.6679534912109375,0.6516233284492046,0.4921120685758069,0.004655974860658611,0.006114107093741519
21,r20_only,0,20,20,20,0.9549417454982176,0.8429022508207709,0.7078056335449219,0.6934354138211347,0.3595716596755665,0.00403586960908231,0.005330466726441517
21,b4r16,4,16,20,16,0.9579290908295661,0.8513578509446234,0.8016281127929688,0.7918721155729145,0.16481510125595378,0.0032766416200345943,0.00457890716349195
21,b16_only,16,0,16,0,0.9459606250748038,0.7991759944707155,0.6726646423339844,0.656566176621709,0.8802600284398068,0.006023346369493882,0.008264935755113409
21,b16r16,16,16,32,16,0.9582494269125164,0.8522952448111027,0.8157005310058594,0.8066366191487759,0.1392148897793959,0.0032396557624292752,0.004545458914911699
21,r32_only,0,32,32,32,0.9580257983179763,0.8518432461423799,0.7876625061035156,0.7772196753649041,0.17230294247565325,0.0033113841434777736,0.004563869016060735
21,exact_k,128,0,128,128,0.9606331108370796,0.859656022512354,1.0,1.0,0.0,0.0027924515930874737,0.003956630193270239
22,r16_only,0,16,16,16,0.9625476892106235,0.8331330704968423,0.6940536499023438,0.6790071044815704,0.4110434380127117,0.006856266028821785,0.011093399738493867
22,r20_only,0,20,20,20,0.9647453987272456,0.8406798373907804,0.7344551086425781,0.721395518979989,0.2957060007029213,0.004857487443969707,0.008759641355854393
22,b4r16,4,16,20,16,0.9667462944053113,0.8486821427941322,0.811279296875,0.8019979459932074,0.16255385828844737,0.004226690127816205,0.007865632149799072
22,b16_only,16,0,16,0,0.9524796800687909,0.774089885642752,0.6478805541992188,0.6305631994619034,0.9543517624842934,0.011170598474176655,0.016340874153146445
22,b16r16,16,16,32,16,0.9670869741821662,0.8498820462264121,0.8228034973144531,0.8140889087226242,0.13982009713799926,0.0040608736732622094,0.007681616772114002
22,r32_only,0,32,32,32,0.9674392597516999,0.8506033985177055,0.8116798400878906,0.8024181912187487,0.1302250547305448,0.003761001263531164,0.007399458603577599
22,exact_k,128,0,128,128,0.9692083632107824,0.8576707056490704,1.0,1.0,0.0,0.0032559106382984457,0.006664843984036134
23,r16_only,0,16,16,16,0.9673877856694162,0.8322232461068779,0.6887130737304688,0.6734038760187104,0.39948959031607956,0.007433361040439863,0.01058995533392858
23,r20_only,0,20,20,20,0.9689314049901441,0.839003941626288,0.7282638549804688,0.7148997762706131,0.2901464265305549,0.0063491017422023,0.009455138349321228
23,b4r16,4,16,20,16,0.9709601723589003,0.8480192888528109,0.8126869201660156,0.8034747993806377,0.15404463317827322,0.005213584303450735,0.008132027969910591
23,b16_only,16,0,16,0,0.9580278375651687,0.7707554257940501,0.6544609069824219,0.6374671750236303,0.9640562351851258,0.012881855963157987,0.015863124961295685
23,b16r16,16,16,32,16,0.9710638070246205,0.8485294407000765,0.8192253112792969,0.810334748821333,0.14283619202615228,0.00511342388326305,0.008017928844877016
23,r32_only,0,32,32,32,0.9713193841744214,0.8490663273259997,0.8060455322265625,0.7965067835757509,0.13294023521302734,0.004920197010221895,0.007892269427435292
23,exact_k,128,0,128,128,0.9729250728851184,0.856507430667989,1.0,1.0,0.0,0.004220122109940324,0.007075963655715136
24,r16_only,0,16,16,16,0.9660743704298511,0.8203896506456658,0.7012977600097656,0.6866074800491333,0.3703344782697968,0.009087888354405585,0.010110522190560297
24,r20_only,0,20,20,20,0.9679372892715037,0.8279728281777352,0.742431640625,0.7297643391648307,0.262695218261797,0.006343754034200374,0.0072496944032766734
24,b4r16,4,16,20,16,0.9697787474142388,0.8360621676547453,0.8194961547851562,0.8106189123354852,0.14581580372760072,0.005244295385822696,0.006040895640551341
24,b16_only,16,0,16,0,0.9548015345353633,0.7374785154825076,0.6533126831054688,0.6362624818575568,1.055203112453455,0.01582594141063624,0.018123251402299968
24,b16r16,16,16,32,16,0.9700117250904441,0.8370123602217063,0.8298835754394531,0.8215171889169142,0.13124948862969177,0.005088870830848802,0.005876125908693621
24,r32_only,0,32,32,32,0.9703156894538552,0.8377949891146272,0.8164939880371094,0.807469098130241,0.11728203951497562,0.004952470699525705,0.005765654254840153
24,exact_k,128,0,128,128,0.9718740057433024,0.8448756451252848,1.0,1.0,0.0,0.0040953276259435185,0.0047380616206892
25,r16_only,0,16,16,16,0.9695764227071777,0.8352733146166429,0.7058219909667969,0.6913542152615264,0.36051760098780505,0.009052177465706367,0.00936412348373011
25,r20_only,0,20,20,20,0.9710472122533247,0.84196690924,0.7448692321777344,0.7323218117235228,0.25630374340107664,0.007195688847940489,0.007533412774145735
25,b4r16,4,16,20,16,0.9724996973527595,0.8491520119132474,0.81781005859375,0.8088498937431723,0.16142895056691486,0.006063188479882634,0.006372299246500605
25,b16_only,16,0,16,0,0.9569025589153171,0.731298467842862,0.6729507446289062,0.656866351433564,1.400592916936148,0.017485404011370182,0.01826839735626976
25,b16r16,16,16,32,16,0.9726300511974841,0.8498078736010939,0.8258705139160156,0.8173067653551698,0.1503595849935664,0.005978566013764085,0.0062916369797671465
