layer,base_rank,centered_explained_fraction,predictable_energy_captured_fraction,attention_mass_recall,nonsink_mass_recall,page_recall,routed_page_recall,page_kl,attention_rel_mse,post_wo_rel_mse
3,48,0.46794607908296826,0.9342439714751178,0.9581571969902143,0.8352570062270388,0.8502464294433594,0.8428814962971956,0.10291851034708088,0.012649526751188397,0.014500777526757656
4,48,0.5199255990206996,0.9404426894260237,0.9582876900676638,0.8563037951244041,0.8438148498535156,0.8361336103407666,0.11165134421753464,0.016786106677248547,0.010303889453933611
5,48,0.4991402411865191,0.9361151474253347,0.9586584554053843,0.8658211171859875,0.8139877319335938,0.8048395871883258,0.2469008364569163,0.016697946919931365,0.016423172876573532
6,48,0.51047426955394,0.9552665350750261,0.9436360313557088,0.8698633883614093,0.8266372680664062,0.8181112294550985,0.14322235640429426,0.008769130628074346,0.008164168254364343
7,48,0.6361457222343232,0.924898872611895,0.936275742133148,0.8897857397096232,0.82696533203125,0.8184554274193943,0.31345054826670093,0.016220083072327064,0.0187924694788473
8,48,0.6135761141822801,0.9398633243339415,0.9450863568345085,0.896198061760515,0.7837142944335938,0.7657571994969921,0.24112688348207983,0.008888306617079695,0.010087553559593364
9,48,0.5903039976745547,0.9480572074588283,0.9285184992477298,0.8706307378597558,0.740447998046875,0.7276831405470148,0.32474617545085493,0.010280378386222417,0.015325606260222746
10,48,0.6149493373877771,0.9487912213388056,0.9280319734243676,0.8439918932272121,0.7227439880371094,0.7091084395069629,0.3844284265069291,0.014873029743659451,0.01468835239279554
11,48,0.6757252006326704,0.9267384020146813,0.9172894960502163,0.8569496113341302,0.7545204162597656,0.7424476441228762,0.390535579288553,0.010614578266927835,0.015339659388481402
12,48,0.5627023150587462,0.934487361353678,0.9574056188575923,0.9269804590148851,0.831298828125,0.8230020452756435,0.6800435837649275,0.0031977937320996877,0.0031816088237916623
13,48,0.6066235806344009,0.9611935232623561,0.9364424727391452,0.8783089249627665,0.666748046875,0.6503586006583646,0.6343512384337373,0.005081701986983463,0.007659995314938029
14,48,0.6253246145167739,0.9554995634926525,0.9553842748282477,0.9123616478173062,0.727752685546875,0.714363468810916,0.4601603111223085,0.0028677615823223023,0.0031172492470345147
15,48,0.40189003631629105,0.9594761209876154,0.9472576028201729,0.8626672521932051,0.6984405517578125,0.6836097524501383,0.6251601718831807,0.006484521941672577,0.008899129671124842
16,48,0.5123161396330655,0.9680184731765661,0.9540756165515631,0.8662931202561595,0.7326812744140625,0.71953444625251,0.971188165829517,0.0033365921968319277,0.004622278579575152
17,48,0.4143426126834363,0.9666855201593781,0.9342381005408242,0.8293249370763078,0.6962890625,0.6813524548779242,0.9819198898621835,0.006883449742607771,0.008682288926456507
18,48,0.43017267147818405,0.9555045897714195,0.9576079099206254,0.8062601975980215,0.6993026733398438,0.6845142742968164,0.9394910719420295,0.0052924812624564645,0.007356312737347625
19,48,0.4774602151629705,0.9570145534270051,0.9477066604886204,0.7824929131893441,0.7138748168945312,0.6998030815157108,0.6469341985648498,0.009492362568873957,0.01113699041196544
20,48,0.4151919261956216,0.9593151562376612,0.9441064882557839,0.7630880329525098,0.6781387329101562,0.6623094833339565,0.7840056647255551,0.014272969893494972,0.026528235118138326
21,48,0.35354360656888034,0.9634660936854814,0.9466723237419501,0.8007944507990032,0.6843414306640625,0.6688172339345329,0.8438479660544544,0.005209586090715683,0.0072961127774779
22,48,0.3098440438351676,0.9687261708761837,0.9527253818232566,0.775096062279772,0.6543998718261719,0.6374031391460449,0.9355452036252245,0.010790732018886955,0.015987120926756655
23,48,0.23816455654790783,0.9567611099587223,0.9583135922439396,0.7717851361376233,0.6595611572265625,0.6428182587842457,0.9541753866360523,0.012245296067357478,0.015256227964952957
24,48,0.2584527651183794,0.9652720578982804,0.954802502412349,0.7383072988595814,0.6572074890136719,0.6403488370706327,1.0349632711149752,0.014871279133849728,0.017148961702547386
25,48,0.24798662240057007,0.9632113352584318,0.9567904844880104,0.7313075486454181,0.677032470703125,0.6611488171038218,1.3929887092963327,0.01803077536948304,0.01886645792627234
